index,sub_id,group_id,phase_id,trial,mt,good
549,114,1,2,24,10.354,0
550,114,1,2,25,10.096,0
551,114,1,2,26,10.325,0
552,114,1,2,27,10.582,0
553,114,1,2,28,10.042,0
554,114,1,2,29,12.407,0
555,114,1,2,30,10.464,0
556,114,1,3,1,10.177,0
557,114,1,3,2,9.671,0
558,114,1,3,3,9.92,0
559,114,1,3,4,9.631,0
560,114,1,3,5,9.788,0
561,115,1,1,1,14.577,0
562,115,1,1,2,14.281,0
563,115,1,1,3,15.768,0
564,115,1,1,4,10.327,0
565,115,1,1,5,14.926,0
566,115,1,2,1,11.657,0
567,115,1,2,2,11.178,0
568,115,1,2,3,8.835,0
569,115,1,2,4,11.197,0
570,115,1,2,5,8.673,0
571,115,1,2,6,7.848,0
572,115,1,2,7,8.801,0
573,115,1,2,8,8.368,0
574,115,1,2,9,9.185,0
575,115,1,2,10,7.96,0
576,115,1,2,11,8.604,0
577,115,1,2,12,9.418,0
578,115,1,2,13,8.164,0
579,115,1,2,14,10.337,0
580,115,1,2,15,9.669,0
581,115,1,2,16,10.76,0
582,115,1,2,17,9.723,0
583,115,1,2,18,8.762,0
584,115,1,2,19,10.994,0
585,115,1,2,20,11.12,0
586,115,1,2,21,8.884,0
587,115,1,2,22,7.659,0
588,115,1,2,23,7.859,0
589,115,1,2,24,6.86,0
590,115,1,2,25,10.608,0
591,115,1,2,26,8.063,0
592,115,1,2,27,7.574,0
593,115,1,2,28,10.152,0
594,115,1,2,29,9.491,0
595,115,1,2,30,8.097,0
596,115,1,3,1,7.916,0
597,115,1,3,2,8.927,0
598,115,1,3,3,7.507,0
599,115,1,3,4,11.491,0
600,115,1,3,5,7.859,0
601,116,1,1,1,21.307,0
602,116,1,1,2,19.256,0
603,116,1,1,3,15.113,0
604,116,1,1,4,13.994,0
605,116,1,1,5,13.551,0
606,116,1,2,1,13.501,0
607,116,1,2,2,9.938,0
608,116,1,2,3,14.984,0
609,116,1,2,4,12.441,0
610,116,1,2,5,11.594,0
611,116,1,2,6,11.347,0
612,116,1,2,7,13.575,0
613,116,1,2,8,11.576,0
614,116,1,2,9,13.02,0
615,116,1,2,10,12.625,0
616,116,1,2,11,10.233,0
617,116,1,2,12,10.845,0
618,116,1,2,13,11.215,0
619,116,1,2,14,10.398,0
620,116,1,2,15,21.399,0
621,116,1,2,16,21.521,0
622,116,1,2,17,12.642,0
623,116,1,2,18,16.211,0
