sub_id,group_id,t1_01,t1_02,t1_03,t1_04,t1_05,t1_06,t1_07,t1_08,t1_09,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t1_18,t1_19,t1_20,t1_21,t1_22,t2_01,t2_02,t2_03,t2_04,t2_05,t2_06,t2_07,t2_08,t2_09,t2_10,t2_11,t2_12,t2_13,t2_14,t2_15,t2_16,t2_17,t2_18,t2_19,t2_20,t2_21,t2_22,t3_01,t3_02,t3_03,t3_04,t3_05,t3_06,t3_07,t3_08,t3_09,t3_10,t3_11,t3_12,t3_13,t3_14,t3_15,t3_16,t3_17,t3_18,t3_19,t3_20,t3_21,t3_22
s177,1,7,7,6,6,6,7,7,7,5,6,6,6,7,5,7,7,7,5,5,5,7,5,7,7,5,5,5,6,2,3,5,5,6,6,7,5,6,7,5,5,6,5,7,5,7,7,5,5,5,7,5,6,5,5,6,6,7,6,6,7,6,5,5,5,7,6
s178,1,7,7,7,6,2,6,1,7,4,4,7,7,6,4,4,6,6,4,1,4,7,6,7,6,7,6,2,6,1,7,4,4,7,7,7,4,2,6,6,4,1,4,7,4,6,6,6,6,1,6,1,6,4,5,7,7,7,4,2,6,4,4,1,4,7,5
s201,2,5,5,6,4,4,4,5,4,2,4,5,6,3,5,4,4,5,5,4,2,7,4,5,5,6,4,5,5,4,4,4,5,5,7,5,5,5,5,5,4,6,4,7,4,5,6,5,5,4,5,4,5,4,4,5,6,4,4,4,5,5,5,4,4,7,4
s202,2,5,7,5,6,3,7,1,6,5,5,6,7,6,5,6,6,5,6,3,5,7,4,2,5,5,6,3,7,1,7,6,6,7,7,6,6,3,6,2,6,3,6,7,5,5,6,6,6,5,6,3,6,6,6,6,7,6,5,4,6,5,6,4,6,7,4
s203,2,7,7,7,5,3,4,1,7,3,5,7,6,6,4,3,6,4,6,1,3,7,4,4,7,5,5,3,6,1,7,5,6,7,7,6,5,4,5,2,5,1,4,7,5,4,7,5,6,4,6,1,7,4,6,7,7,6,4,5,6,4,4,4,4,7,6
s204,2,5,7,6,5,1,5,1,7,2,5,7,7,6,5,3,6,4,5,1,2,7,4,1,7,4,5,1,4,1,6,2,5,6,7,5,3,3,6,2,4,1,3,7,3,1,7,3,4,1,4,1,6,2,5,5,7,5,3,3,5,1,5,1,4,7,4
s205,2,3,5,6,5,4,6,2,6,4,6,7,7,7,5,6,6,4,4,4,4,7,6,4,5,6,6,5,2,2,3,5,1,3,6,6,5,4,6,5,5,5,5,6,5,4,4,5,5,3,5,3,6,5,5,6,5,5,5,4,5,3,5,3,5,5,4
s206,2,5,7,4,6,4,5,3,7,4,6,6,7,6,5,4,6,4,7,2,3,7,1,5,7,7,7,5,5,4,7,3,4,7,7,7,7,5,7,6,7,6,6,7,5,6,7,6,6,6,5,6,7,4,7,7,7,7,7,7,5,5,5,5,5,7,5
s207,2,6,7,6,5,2,6,2,5,2,5,7,7,6,4,4,6,5,3,5,2,7,3,3,6,5,6,2,6,1,6,3,6,7,1,6,4,3,6,3,4,4,4,7,4,3,6,4,6,4,6,3,6,4,5,6,7,6,4,3,6,3,4,3,4,7,4
s208,2,4,7,5,5,5,7,1,7,3,5,7,7,7,5,6,7,3,5,2,4,6,5,5,7,5,5,5,7,5,7,4,7,7,7,7,6,6,7,6,5,4,5,6,7,5,7,5,6,4,7,4,7,5,7,7,7,7,6,6,7,5,5,4,5,6,5
s209,2,6,7,6,5,3,5,2,6,4,5,6,7,6,4,3,6,2,6,2,4,7,5,2,6,4,5,2,5,2,6,4,6,6,7,6,5,5,6,3,5,2,5,7,5,3,6,5,5,2,5,2,6,4,5,6,7,5,4,3,6,2,5,2,4,7,6
s210,2,5,7,5,5,2,4,1,5,3,4,6,6,6,5,4,5,6,7,6,3,7,1,6,5,7,6,3,5,1,5,3,5,6,7,5,4,3,5,3,6,4,3,7,1,5,3,6,6,2,4,2,5,2,6,5,7,5,3,4,5,2,6,5,3,7,2
s211,2,2,7,6,5,3,6,3,5,1,6,6,7,6,5,6,6,2,3,1,3,7,6,1,4,6,6,2,3,1,6,3,6,6,7,5,5,2,6,1,5,1,2,7,2,4,6,5,6,4,5,2,6,2,6,6,6,6,4,3,6,3,3,2,2,7,3
s212,2,2,7,4,2,1,2,1,3,1,4,4,7,4,3,2,5,1,5,1,2,7,2,2,7,4,4,3,1,4,4,4,2,4,7,4,6,4,4,1,6,4,4,7,3,1,7,5,1,3,1,4,5,3,3,4,7,3,5,4,3,1,5,1,4,7,3
s213,2,6,7,5,4,2,4,1,5,1,2,5,6,3,3,3,2,1,2,4,2,5,2,4,6,5,4,2,4,1,4,4,2,6,5,4,4,2,4,1,4,2,4,6,3,2,7,4,2,2,4,2,3,3,3,6,6,4,4,3,4,2,4,2,4,6,7
s214,2,5,7,7,6,2,4,2,5,5,4,7,7,5,4,4,5,2,6,2,6,7,4,3,7,4,6,2,6,4,6,5,6,6,7,6,4,6,5,3,6,3,5,7,4,3,7,6,5,4,5,3,4,6,6,6,7,5,6,3,4,4,6,3,6,7,4
s215,2,7,6,5,6,4,6,2,6,1,6,7,7,7,2,4,6,3,3,2,1,7,5,2,7,4,6,3,6,2,7,2,6,6,7,6,3,4,6,2,3,2,2,7,4,2,6,3,6,4,6,2,6,2,5,6,6,6,3,4,6,2,3,2,2,7,4
s216,2,5,5,5,5,6,5,5,6,3,4,6,6,6,4,4,6,5,6,5,3,5,3,5,5,6,4,6,5,5,6,3,3,7,3,4,4,3,4,5,6,5,3,3,3,5,5,6,5,5,3,4,6,3,3,3,3,4,4,3,4,4,5,4,3,2,3
s217,2,7,7,4,3,4,2,6,1,1,2,5,5,2,2,3,2,4,6,5,1,7,2,7,7,5,1,2,1,4,1,1,3,2,6,1,1,3,1,4,6,5,1,7,1,6,7,4,2,2,1,4,1,2,2,2,6,1,2,6,1,4,5,4,1,7,1
s218,2,5,6,6,4,1,3,5,5,2,4,6,6,5,4,5,6,6,5,5,3,7,3,6,6,6,4,1,3,6,5,4,3,6,7,5,5,3,4,5,6,6,4,7,4,5,6,5,4,4,5,4,5,3,4,6,7,5,5,5,5,5,6,6,4,7,4
s219,2,4,7,6,6,4,7,3,6,3,6,6,7,7,5,6,7,3,4,3,3,7,7,3,7,5,5,4,7,2,7,5,6,6,7,6,6,5,7,4,6,2,5,7,7,4,7,6,7,5,7,2,7,5,5,7,7,7,6,5,7,3,6,2,5,7,7
s220,2,5,6,5,6,3,6,3,6,4,4,6,7,6,5,5,6,4,5,4,5,6,3,4,6,5,6,4,6,5,6,5,5,6,6,6,4,5,6,4,5,4,5,7,4,5,5,5,6,5,6,4,6,5,5,6,6,6,5,5,6,5,5,4,5,6,4
s221,2,7,7,4,7,5,6,3,7,1,6,7,7,6,4,6,7,7,7,6,3,7,7,7,7,6,7,7,7,7,7,4,7,7,7,7,6,7,7,7,6,6,4,7,7,6,7,6,6,6,7,5,7,4,7,7,7,7,7,7,6,6,7,7,4,7,6
s222,2,4,7,6,5,3,3,2,6,2,5,6,7,6,7,5,5,2,6,3,2,7,2,4,7,4,4,2,4,3,4,3,5,6,7,5,6,5,4,5,5,5,3,7,3,5,7,5,3,3,3,4,5,3,5,6,6,3,5,4,5,5,5,5,4,7,3
s223,2,7,7,4,7,1,6,2,7,1,5,6,7,7,3,4,6,2,2,2,2,7,4,3,7,4,6,1,6,1,7,1,5,6,7,6,3,4,6,2,3,1,4,7,6,3,6,4,7,1,6,1,6,3,5,6,7,6,3,5,6,1,3,1,3,7,5
s224,2,7,7,7,7,4,7,5,7,6,6,7,7,7,7,6,7,6,7,6,7,7,7,3,5,7,7,7,7,3,7,6,6,7,7,7,7,4,7,3,7,2,6,7,7,6,6,6,7,5,7,3,7,6,6,7,7,7,6,4,7,3,6,3,6,7,7
s225,2,6,7,4,6,3,6,2,7,3,6,7,3,7,7,3,7,3,6,4,3,3,4,2,5,5,5,3,6,2,6,3,3,6,4,5,6,3,6,4,5,2,3,2,3,2,5,4,3,2,5,3,5,3,3,6,3,6,7,3,6,2,6,2,2,4,2
s226,2,1,6,6,6,5,5,2,6,4,5,7,7,6,5,6,6,1,6,1,4,6,5,1,7,6,7,6,6,5,7,5,6,7,6,7,6,6,7,1,6,1,5,6,5,1,7,6,6,6,6,5,7,5,6,7,6,7,6,6,7,1,6,1,5,6,5
s227,2,5,7,5,6,6,6,3,6,4,6,7,7,6,3,6,6,5,4,6,4,7,2,7,7,6,5,4,5,5,7,4,5,7,7,5,5,4,6,5,4,6,4,7,3,6,7,5,6,4,5,5,6,4,6,7,7,6,5,6,6,5,4,5,4,7,3
s228,2,3,7,4,5,3,5,2,6,2,4,6,7,6,5,5,6,3,4,2,2,7,4,3,7,4,5,3,6,1,7,4,4,6,7,6,5,2,6,1,5,2,4,7,4,2,7,2,4,2,3,1,3,3,3,5,6,4,4,2,4,1,3,1,3,7,3
s229,2,5,7,6,5,4,5,3,6,3,3,6,7,6,4,4,5,4,4,6,3,7,2,5,7,6,5,5,5,4,6,4,4,6,7,5,5,5,6,6,5,6,4,7,3,5,7,5,5,6,6,5,6,4,5,6,7,6,5,5,6,5,5,6,4,7,3
s230,2,7,7,5,4,1,6,1,7,1,6,7,7,6,2,6,7,7,1,6,1,7,2,7,7,4,1,1,6,1,6,2,5,7,7,6,7,6,6,6,6,6,2,7,3,7,7,4,6,2,5,1,6,2,6,6,7,6,5,5,7,5,5,6,2,7,3
s231,2,7,7,5,6,7,7,5,7,3,5,6,7,6,6,6,6,4,5,4,6,7,7,7,7,6,6,7,7,5,7,3,7,3,7,7,6,5,7,5,4,5,3,7,7,6,2,7,7,5,7,5,7,3,7,7,7,7,7,5,7,5,6,5,6,7,7
s232,2,6,7,4,6,5,6,5,6,4,5,6,7,7,5,5,6,6,5,5,4,7,7,5,7,5,6,5,6,4,6,5,6,6,6,7,6,4,7,4,5,5,6,7,7,4,5,5,6,5,6,4,4,3,5,6,7,6,4,4,6,4,5,4,5,7,6
s233,2,6,6,5,5,3,5,5,7,2,3,6,7,6,4,4,5,6,3,4,3,7,4,5,6,4,6,5,7,5,7,3,5,6,7,6,2,5,6,5,3,5,3,7,6,6,3,3,6,5,6,5,6,3,5,5,7,6,3,5,6,5,3,5,3,7,6
s234,2,5,6,6,5,2,5,3,5,3,4,6,7,6,4,3,6,5,6,2,3,6,1,5,3,6,3,1,5,3,5,3,2,4,6,5,4,1,5,1,5,1,4,6,3,2,2,5,4,2,5,2,3,4,3,5,6,4,4,2,5,2,5,1,4,6,3
s235,2,4,7,6,3,3,5,3,5,2,4,6,7,6,5,4,7,4,6,5,4,7,3,5,7,6,5,4,6,4,5,4,5,5,7,7,5,4,7,4,6,5,5,7,5,4,5,6,4,4,6,3,5,4,5,6,7,6,6,5,7,4,6,4,4,7,4
s236,2,3,7,6,3,2,4,2,6,2,4,7,4,3,3,4,4,4,5,2,2,5,4,2,4,6,4,3,4,2,6,2,4,7,5,4,3,3,4,3,4,2,3,5,2,3,5,5,4,4,3,2,7,3,4,7,5,4,4,3,4,3,4,2,3,5,3
s237,2,6,7,6,6,4,6,5,6,2,7,7,7,6,4,5,6,5,3,4,2,7,3,2,3,4,5,3,5,1,6,1,5,6,5,6,4,4,6,2,2,2,1,2,2,4,4,2,5,2,4,3,6,2,4,6,4,4,2,4,5,2,1,2,1,6,2
s238,2,3,6,5,5,4,5,3,6,3,4,6,6,6,3,4,5,3,6,3,4,7,3,3,6,5,5,4,5,4,6,3,4,6,7,6,6,5,5,3,3,2,4,7,3,3,6,3,5,3,6,4,6,4,4,6,7,6,3,3,5,3,3,4,4,7,3
s239,2,7,7,6,5,4,4,2,5,1,5,7,7,5,4,5,5,5,4,5,2,7,2,5,7,5,5,4,6,5,6,5,5,6,7,5,5,5,5,5,5,5,5,7,4,5,7,5,4,4,5,5,6,5,4,7,7,5,5,5,5,6,5,5,5,7,4
s240,2,4,5,3,2,1,2,1,5,1,2,4,6,3,2,2,2,3,3,2,2,7,2,3,3,4,2,1,2,2,5,2,3,6,6,3,4,2,2,3,2,3,2,6,1,3,6,2,3,1,2,3,6,2,3,7,6,2,3,2,2,3,3,4,2,6,2
s241,2,7,7,7,7,3,7,1,7,2,6,7,5,7,3,5,7,6,5,7,1,7,7,7,6,4,6,1,4,3,7,1,4,6,5,6,1,3,5,6,5,6,1,7,2,7,6,7,6,4,6,3,6,1,6,7,6,6,4,3,6,6,6,7,1,7,4
s242,2,2,7,5,6,1,7,1,7,3,3,7,7,7,6,5,7,1,6,2,4,7,3,2,7,4,5,1,7,1,7,5,2,7,7,7,7,3,7,1,6,2,2,7,3,2,7,4,7,2,7,1,7,6,5,7,7,7,7,3,7,1,7,2,7,7,3
s243,2,7,7,6,6,6,6,6,6,3,6,6,7,6,5,6,6,6,5,6,4,7,4,7,7,5,6,6,6,6,6,3,7,6,7,7,6,6,6,6,5,6,4,7,6,6,6,4,5,4,6,4,6,4,6,6,7,6,5,4,6,5,5,5,3,7,4
s244,2,7,7,7,6,1,4,1,4,3,6,6,7,4,4,5,6,2,7,4,5,7,4,7,7,7,6,2,6,4,5,2,4,6,7,6,5,5,6,6,7,6,3,7,4,5,7,6,4,4,4,4,5,3,5,6,7,5,5,5,5,3,7,5,4,7,4
s245,2,4,7,5,5,2,6,4,7,1,5,7,7,7,3,5,7,4,2,4,2,7,3,5,7,5,6,2,7,4,7,2,4,7,7,7,4,6,7,4,2,4,2,7,5,5,7,5,6,2,6,4,7,3,5,7,7,6,4,4,6,4,3,4,3,7,4
s246,2,3,5,5,5,2,4,2,4,2,4,5,5,4,3,3,4,3,3,4,3,7,2,2,4,4,4,2,3,2,5,2,3,6,6,5,3,3,4,3,4,3,2,6,3,3,5,4,4,3,4,2,5,3,4,5,6,4,4,3,4,3,4,3,3,6,4
s247,2,6,7,5,6,5,7,4,7,3,7,7,7,7,5,6,7,6,6,6,3,7,7,6,7,5,7,6,7,5,7,5,7,7,7,7,6,7,7,6,6,6,5,7,7,5,7,6,7,6,7,6,7,4,7,7,7,7,6,7,7,6,6,6,4,7,7
s248,2,7,7,5,5,5,5,3,6,3,4,6,7,6,5,6,6,3,5,4,5,7,4,4,7,5,5,4,6,4,6,5,4,6,7,6,6,5,6,4,6,4,5,7,4,3,7,4,5,3,6,3,6,5,4,6,7,6,6,5,6,2,6,2,5,7,4
s249,2,7,7,6,6,6,7,1,6,6,7,1,7,5,5,7,5,6,6,3,2,7,4,5,7,6,7,3,6,4,6,3,5,6,7,7,4,6,7,3,5,2,2,7,5,5,7,4,6,4,6,3,6,3,5,6,7,6,5,5,7,4,5,2,3,7,4
s250,2,1,5,2,2,2,3,1,3,2,2,6,7,4,3,2,3,1,2,1,1,7,2,1,6,3,2,2,2,1,6,2,4,6,7,2,2,2,3,1,3,1,1,7,2,2,7,3,2,1,3,1,6,1,5,6,7,2,2,2,3,1,2,1,3,7,2
s251,2,4,7,3,5,3,5,3,5,2,6,5,7,4,4,3,5,3,5,4,2,7,5,5,7,4,4,3,6,3,5,3,7,7,7,6,5,6,6,5,4,6,3,7,6,4,7,5,4,3,5,3,5,4,7,7,7,6,4,4,6,4,5,4,4,7,6
s252,2,3,7,5,3,1,4,1,5,4,3,7,7,4,4,2,4,2,3,2,5,7,3,3,7,5,3,2,4,2,5,5,4,5,7,3,4,3,4,2,5,3,4,7,3,3,7,5,2,2,3,2,4,5,4,5,7,3,5,3,4,4,5,3,5,7,3
